"id","codigo","descripcion","nivel","nombre","ultimo_nivel","id_padre","codigo_nombre","id_clase","enviado_contabilidad","orden_jerarquico"
"2","1","DISTRIBUCIÓN",1,"DISTRIBUCIÓN",False,NULL,"1 - DISTRIBUCIÓN","421",True,"1000000000"
"3","1.1","AZUCAR",2,"AZUCAR",False,"2","1.1 - AZUCAR","421",True,"1001000000"
"4","1.1.1","AZUCAR BOLSA",3,"AZUCAR BOLSA",False,"3","1.1.1 - AZUCAR BOLSA","421",True,"1001001000"
"5","1.1.1.1","AZUCAR BOLSA 50K",4,"AZUCAR BOLSA 50K",True,"4","1.1.1.1 - AZUCAR BOLSA 50K","421",True,"1001001001"
"6","1.2","VARIOS",2,"VARIOS",False,"2","1.2 - VARIOS","421",True,"1002000000"
"7","1.1.1.2","AZUCAR BOLSA 25K",4,"AZUCAR BOLSA 25K",True,"4","1.1.1.2 - AZUCAR BOLSA 25K","421",True,"1001001002"
"8","1.1.1.3","AZUCAR BIGBAG",4,"AZUCAR BIGBAG",True,"4","1.1.1.3 - AZUCAR BIGBAG","421",True,"1001001003"
"9","1.1.2","AZUCAR FRACCIONADA",3,"AZUCAR FRACCIONADA",False,"3","1.1.2 - AZUCAR FRACCIONADA","421",True,"1001002000"
"10","1.1.2.1","AZUCAR FRACCIONADA AZPA",4,"AZUCAR FRACCIONADA AZPA",True,"9","1.1.2.1 - AZUCAR FRACCIONADA AZPA","421",True,"1001002001"
"11","1.1.2.2","AZUCAR FRACCIONADA AZUKITA",4,"AZUCAR FRACCIONADA AZUKITA",True,"9","1.1.2.2 - AZUCAR FRACCIONADA AZULITA","421",True,"1001002002"
"12","1.1.2.3","AZUCAR FRACCIONADA SARIC",4,"AZUCAR FRACCIONADA SARIC",True,"9","1.1.2.3 - AZUCAR FRACCIONADA SARIC","421",True,"1001002003"
"13","1.2.1","DERIVADOS LACTEOS",3,"DERIVADOS LACTEOS",False,"6","1.2.1 - LECHE EN POLVO","421",True,"1002001000"
"17","1.2.2","DERIVADOS HARINA DE ARROZ",3,"DERIVADOS HARINA DE ARROZ",False,"6","1.2.2 - QUESOS","421",True,"1002002000"
"19","1.2.3","PURE DE TOMATE",3,"PURE DE TOMATE",False,"6","1.2.3 - DULCE DE LECHE","421",True,"1002003000"
"22","1.2.4","ENLATADOS",3,"ENLATADOS",False,"6","1.2.4 - DERIVADOS LACTEOS","421",True,"1002004000"
